Geneid,Chr,Start,End,Strand,Length,ML-sta1_CTTGTA_L005/bowtie1_mapping_ref/ML-sta1_CTTGTA_L005.sorted.bam,ML-exp1_GCCAAT_L006/bowtie1_mapping_ref/ML-exp1_GCCAAT_L006.sorted.bam
gene2572,CU928145.2,2587077,2587580,+,504,4,41
gene2573,CU928145.2,2587647,2589104,-,1458,35,212
gene2574,CU928145.2,2589111,2590640,-,1530,9,142
gene2575,CU928145.2,2590804,2592645,-,1842,17,176
gene2576,CU928145.2,2592642,2592944,-,303,1,19
gene2577,CU928145.2,2592941,2593495,-,555,8,41
gene2578,CU928145.2,2593507,2594049,-,543,8,53
gene2579,CU928145.2,2594064,2595041,-,978,20,137
gene2580,CU928145.2,2595038,2597770,-,2733,82,370
gene2581,CU928145.2,2597817,2599154,-,1338,24,124
gene2582,CU928145.2,2599151,2599651,-,501,20,80
gene2583,CU928145.2,2599654,2601456,-,1803,50,199
gene2584,CU928145.2,2601550,2602212,-,663,55,280
gene2585,CU928145.2,2602228,2602671,-,444,87,576
gene2586,CU928145.2,2603302,2604240,-,939,1203,305
gene2587,CU928145.2,2605160,2606377,+,1218,9,105
gene2588,CU928145.2,2606461,2607060,+,600,9,71
gene2589,CU928145.2,2607119,2608951,-,1833,10,108
gene2590,CU928145.2,2609038,2609688,-,651,26,115
gene2591,CU928145.2,2609699,2610193,-,495,18,248
gene2592,CU928145.2,2610276,2610731,-,456,346,88
gene2593,CU928145.2,2611069,2612271,+,1203,465,629
gene2594,CU928145.2,2612346,2614490,+,2145,82,279
gene2595,CU928145.2,2614680,2616200,+,1521,0,91
gene2596,CU928145.2,2616233,2616775,-,543,16,66
gene2597,CU928145.2,2616833,2617387,-,555,18,109
gene2598,CU928145.2,2617440,2618084,-,645,7,8
gene2599,CU928145.2,2618220,2618867,+,648,68,11
gene2600,CU928145.2,2618924,2619286,+,363,37,53
gene2601,CU928145.2,2619307,2620200,+,894,202,126
gene2602,CU928145.2,2620248,2621150,-,903,15,83
gene2603,CU928145.2,2621347,2622120,-,774,3,35
gene2604,CU928145.2,2622128,2622844,-,717,4,13
gene2605,CU928145.2,2622841,2623527,-,687,13,10
gene2606,CU928145.2,2623617,2624399,-,783,69,65
gene2607,CU928145.2,2624620,2625402,-,783,222,26
gene2608,CU928145.2,2625668,2626237,-,570,4,30
gene2609,CU928145.2,2626332,2627849,-,1518,35,49
gene2610,CU928145.2,2627886,2628374,-,489,21,35
gene2611,CU928145.2,2628633,2629295,-,663,47,56
gene2612,CU928145.2,2629285,2630553,-,1269,56,64
gene2613,CU928145.2,2630623,2631537,-,915,66,434
gene2614,CU928145.2,2631693,2632352,-,660,10,31
gene2615,CU928145.2,2632435,2633247,-,813,9,11
gene2616,CU928145.2,2633247,2634260,-,1014,4,32
gene2617,CU928145.2,2634326,2635462,-,1137,45,56
gene2618,CU928145.2,2635561,2636556,+,996,4,22
gene2619,CU928145.2,2636553,2637731,-,1179,2,21
gene2620,CU928145.2,2638024,2639244,-,1221,215,650
gene2621,CU928145.2,2639403,2641409,+,2007,10,82
gene2622,CU928145.2,2641530,2641808,-,279,5,229
gene2623,CU928145.2,2641842,2642390,-,549,5,67
gene2624,CU928145.2,2642390,2643199,-,810,1,45
gene2625,CU928145.2,2643199,2644023,-,825,2,21
gene2626,CU928145.2,2644027,2645112,-,1086,20,51
gene2627,CU928145.2,2645147,2646079,-,933,12,118
gene2628,CU928145.2,2646245,2646796,+,552,41,146
gene2629,CU928145.2,2646990,2647970,-,981,182,547
gene2630,CU928145.2,2648197,2649069,-,873,20,121
gene2631,CU928145.2,2649056,2649580,-,525,1,7
gene2632,CU928145.2,2649577,2650047,-,471,1,9
gene2633,CU928145.2,2650044,2650658,-,615,3,13
gene2634,CU928145.2,2650567,2651319,-,753,0,1
gene2635,CU928145.2,2651339,2653981,-,2643,34,45
gene2636,CU928145.2,2654063,2654626,-,564,2,29
gene2637,CU928145.2,2655301,2655786,-,486,501,177
gene2638,CU928145.2,2655989,2658133,-,2145,73,25
gene2639,CU928145.2,2658133,2659443,-,1311,32,6
gene2640,CU928145.2,2659623,2659907,-,285,51,1195
gene2641,CU928145.2,2660273,2661619,+,1347,189,226
gene2642,CU928145.2,2661985,2663043,+,1059,5,37
gene2643,CU928145.2,2663225,2663980,-,756,100,154
gene2644,CU928145.2,2664006,2664176,-,171,48,21
gene2645,CU928145.2,2664274,2665206,+,933,42,33
gene2646,CU928145.2,2665282,2665356,+,75,18,39
gene2647,CU928145.2,2665518,2666675,+,1158,17,396
gene2648,CU928145.2,2666884,2668806,+,1923,57,1817
gene2649,CU928145.2,2668877,2670856,-,1980,183,236
gene2650,CU928145.2,2670908,2671246,+,339,50,517
gene2651,CU928145.2,2671482,2672261,-,780,25,237
gene2652,CU928145.2,2672299,2673009,-,711,53,155
gene2653,CU928145.2,2672999,2673187,-,189,6,20
gene2654,CU928145.2,2673284,2673604,+,321,33,1115
gene2655,CU928145.2,2673688,2673882,+,195,7706,2226
gene2656,CU928145.2,2673896,2674261,-,366,9,177
gene2657,CU928145.2,2674516,2676639,-,2124,55,466
gene2658,CU928145.2,2676624,2677967,-,1344,25,59
gene2659,CU928145.2,2677978,2678670,-,693,6,20
gene2660,CU928145.2,2678673,2679131,-,459,17,20
gene2661,CU928145.2,2679128,2679976,-,849,27,47
gene2662,CU928145.2,2679976,2681394,-,1419,81,130
gene2663,CU928145.2,2681403,2681885,-,483,8,62
gene2664,CU928145.2,2681860,2682045,-,186,2,15
gene2665,CU928145.2,2682088,2683359,-,1272,50,323
gene2666,CU928145.2,2683371,2684255,-,885,25,188
gene2667,CU928145.2,2684269,2686467,-,2199,67,158
gene2668,CU928145.2,2686398,2687810,-,1413,87,87
gene2669,CU928145.2,2687807,2688232,-,426,12,43
gene2670,CU928145.2,2688312,2688554,-,243,12,71
gene2671,CU928145.2,2688658,2689038,-,381,10,80
gene2672,CU928145.2,2689272,2689751,-,480,8,127
gene2673,CU928145.2,2689973,2690422,-,450,15,65
gene2674,CU928145.2,2690407,2690904,-,498,11,29
gene2675,CU928145.2,2690882,2691085,-,204,5,17
gene2676,CU928145.2,2691335,2691448,+,114,165,40
gene2677,CU928145.2,2691570,2691842,+,273,897,672
gene2678,CU928145.2,2691876,2692364,-,489,48,13
gene2679,CU928145.2,2692546,2692908,-,363,1,4
gene2680,CU928145.2,2692905,2693195,-,291,0,7
gene2681,CU928145.2,2693195,2693917,-,723,3,4
gene2682,CU928145.2,2693910,2694080,-,171,1,0
gene2683,CU928145.2,2694256,2694666,-,411,2,6
gene2684,CU928145.2,2694866,2695180,-,315,0,6
gene2685,CU928145.2,2695198,2695404,-,207,0,4
gene2686,CU928145.2,2695480,2696931,-,1452,13,15
gene2687,CU928145.2,2696906,2697796,-,891,43,45
gene2688,CU928145.2,2697783,2697944,-,162,3,10
gene2689,CU928145.2,2697979,2698344,-,366,17,39
gene2690,CU928145.2,2698366,2698551,-,186,2,15
gene2691,CU928145.2,2698632,2699282,+,651,581,1441
gene2692,CU928145.2,2699454,2699639,-,186,9,20
gene2693,CU928145.2,2700054,2700353,+,300,4,12
gene2694,CU928145.2,2700362,2700832,+,471,4,73
gene2695,CU928145.2,2700922,2701197,+,276,0,5
gene2696,CU928145.2,2701164,2701364,+,201,1,0
gene2697,CU928145.2,2701273,2701443,+,171,0,0
gene2698,CU928145.2,2701424,2702059,+,636,3,18
gene2699,CU928145.2,2701969,2702442,+,474,2,15
gene2700,CU928145.2,2702466,2702762,+,297,1,9
gene2701,CU928145.2,2702773,2703063,+,291,1,3
gene2702,CU928145.2,2703224,2703895,+,672,2,18
gene2703,CU928145.2,2704068,2704256,+,189,3,7
gene2704,CU928145.2,2704258,2704467,+,210,0,0
gene2705,CU928145.2,2704464,2705093,+,630,11,36
gene2706,CU928145.2,2705501,2705701,+,201,7,51
gene2707,CU928145.2,2706231,2707478,-,1248,2,26
gene2708,CU928145.2,2707550,2708464,-,915,1,6
gene2709,CU928145.2,2708671,2710113,+,1443,5,29
gene2710,CU928145.2,2710121,2711302,-,1182,55,228
gene2711,CU928145.2,2711347,2711565,+,219,2,4
gene2712,CU928145.2,2711583,2712911,+,1329,5,14
gene2713,CU928145.2,2713019,2714557,-,1539,1,19
gene2714,CU928145.2,2714557,2715720,-,1164,18,6
gene2715,CU928145.2,2716136,2716750,+,615,544,715
gene2716,CU928145.2,2716755,2720348,+,3594,23,708
gene2717,CU928145.2,2720404,2721549,-,1146,17,13
gene2718,CU928145.2,2721623,2722567,-,945,1,5
gene2719,CU928145.2,2722637,2724331,-,1695,0,10
gene2720,CU928145.2,2724385,2725635,-,1251,5,3
gene2721,CU928145.2,2726148,2726780,-,633,2,10
gene2722,CU928145.2,2727076,2727351,+,276,6,31
gene2723,CU928145.2,2727428,2727670,-,243,69,80
gene2724,CU928145.2,2727904,2727978,-,75,4,9
gene2725,CU928145.2,2728023,2728943,+,921,22,358
gene2726,CU928145.2,2728572,2729007,-,436,12,5
gene2727,CU928145.2,2729435,2730673,-,1239,21,29
gene2728,CU928145.2,2731050,2732747,+,1698,43,58
gene2729,CU928145.2,2732762,2733496,+,735,27,100
gene2730,CU928145.2,2733509,2734366,+,858,15,22
gene2731,CU928145.2,2734369,2736864,-,2496,1,15
gene2732,CU928145.2,2736889,2737926,-,1038,0,0
gene2733,CU928145.2,2737926,2739011,-,1086,0,7
gene2734,CU928145.2,2739026,2740273,-,1248,3,4
gene2735,CU928145.2,2740295,2740621,-,327,3,0
gene2736,CU928145.2,2740840,2741805,-,966,22,134
gene2737,CU928145.2,2742009,2743265,+,1257,44,16
gene2738,CU928145.2,2743380,2743706,+,327,98,16
gene2739,CU928145.2,2743847,2745085,-,1239,1241,76
gene2740,CU928145.2,2745421,2746623,+,1203,21,1212
gene2741,CU928145.2,2746673,2748862,-,2190,26,157
gene2742,CU928145.2,2749070,2749145,-,76,32,119
gene2743,CU928145.2,2749185,2749260,-,76,25,113
gene2744,CU928145.2,2749496,2749840,+,345,46,289
gene2745,CU928145.2,2749842,2750234,+,393,27,191
gene2746,CU928145.2,2750286,2751701,-,1416,97,255
gene2747,CU928145.2,2751960,2752035,+,76,6,210
gene2748,CU928145.2,2752080,2752155,+,76,16,967
gene2749,CU928145.2,2752202,2752277,+,76,3,207
gene2750,CU928145.2,2752282,2752357,+,76,2,91
gene2751,CU928145.2,2752622,2753506,-,885,6,49
gene2752,CU928145.2,2753758,2755014,-,1257,6,22
gene2753,CU928145.2,2755074,2755907,-,834,0,0
gene2754,CU928145.2,2756156,2756920,+,765,13,9
gene2755,CU928145.2,2756959,2757885,-,927,12,18
gene2756,CU928145.2,2757975,2758973,+,999,34,58
gene2757,CU928145.2,2758970,2759188,-,219,39,27
gene2758,CU928145.2,2759190,2761205,-,2016,196,96
gene2759,CU928145.2,2761276,2762262,-,987,352,827
gene2760,CU928145.2,2762492,2763253,+,762,48,77
gene2761,CU928145.2,2763438,2764409,+,972,342,240
gene2762,CU928145.2,2764793,2765050,+,258,226,426
gene2763,CU928145.2,2765095,2766822,+,1728,1377,1695
gene2764,CU928145.2,2766863,2767372,+,510,1034,811
gene2765,CU928145.2,2767414,2768265,-,852,24,49
gene2766,CU928145.2,2768370,2768738,+,369,4,14
gene2767,CU928145.2,2768741,2769652,-,912,14,14
gene2768,CU928145.2,2769786,2770883,-,1098,28,2
gene2769,CU928145.2,2770873,2771748,-,876,30,8
gene2770,CU928145.2,2771748,2772581,-,834,34,7
gene2771,CU928145.2,2772581,2773597,-,1017,93,6
gene2772,CU928145.2,2773768,2774559,-,792,56,304
gene2773,CU928145.2,2774688,2775545,-,858,2,7
gene2774,CU928145.2,2775709,2776605,+,897,0,18
gene2775,CU928145.2,2776609,2778033,+,1425,2,22
gene2776,CU928145.2,2778038,2779342,+,1305,11,37
gene2777,CU928145.2,2779398,2780297,-,900,25,140
gene2778,CU928145.2,2780393,2780968,-,576,24,118
gene2779,CU928145.2,2781029,2781478,-,450,6,30
gene2780,CU928145.2,2781465,2781890,-,426,48,45
gene2781,CU928145.2,2782104,2782973,+,870,45,184
gene2782,CU928145.2,2782977,2783876,+,900,11,36
gene2783,CU928145.2,2783882,2784934,-,1053,9,8
gene2784,CU928145.2,2784980,2785480,-,501,12,8
gene2785,CU928145.2,2785493,2786152,-,660,3,2
gene2786,CU928145.2,2786162,2787049,-,888,5,0
gene2787,CU928145.2,2787070,2788431,-,1362,4,1
gene2788,CU928145.2,2788443,2789846,-,1404,4,4
gene2789,CU928145.2,2789843,2791069,-,1227,23,4
gene2790,CU928145.2,2791386,2792573,-,1188,2,1
gene2791,CU928145.2,2792563,2793399,-,837,1,0
gene2792,CU928145.2,2793410,2794813,-,1404,5,1
gene2793,CU928145.2,2794825,2795112,-,288,0,0
gene2794,CU928145.2,2795219,2795512,-,294,9,3
gene2795,CU928145.2,2795551,2796567,-,1017,1,0
gene2796,CU928145.2,2796564,2797367,-,804,3,0
gene2797,CU928145.2,2797364,2798065,-,702,2,1
gene2798,CU928145.2,2798040,2798519,-,480,0,1
gene2799,CU928145.2,2798532,2798867,-,336,2,1
gene2800,CU928145.2,2799160,2801439,-,2280,39,112
gene2801,CU928145.2,2801728,2802678,+,951,734,18
gene2802,CU928145.2,2802698,2804701,+,2004,444,5
gene2803,CU928145.2,2804797,2805840,-,1044,279,22
gene2804,CU928145.2,2805966,2806541,-,576,9,38
gene2805,CU928145.2,2806609,2808588,-,1980,7,104
gene2806,CU928145.2,2808794,2810494,+,1701,26,182
gene2807,CU928145.2,2810658,2813771,+,3114,8,67
gene2808,CU928145.2,2814310,2814666,+,357,3,108
gene2809,CU928145.2,2814670,2815797,+,1128,47,92
gene2810,CU928145.2,2815825,2816025,+,201,91,41
gene2811,CU928145.2,2816135,2816833,-,699,54,23
gene2812,CU928145.2,2816907,2818922,-,2016,37,79
gene2813,CU928145.2,2818937,2819800,-,864,185,50
gene2814,CU928145.2,2819947,2820345,-,399,100,59
gene2815,CU928145.2,2820345,2820611,-,267,120,68
gene2816,CU928145.2,2820727,2821440,-,714,6,19
gene2817,CU928145.2,2821653,2822687,-,1035,50,407
gene2818,CU928145.2,2822704,2823582,-,879,126,535
gene2819,CU928145.2,2823728,2824300,+,573,39,376
gene2820,CU928145.2,2824300,2824770,+,471,29,1384
gene2821,CU928145.2,2825023,2825640,+,618,0,0
gene2822,CU928145.2,2825640,2827658,+,2019,0,5
gene2823,CU928145.2,2827648,2828427,+,780,0,1
gene2824,CU928145.2,2828482,2828616,+,135,0,1
gene2825,CU928145.2,2828633,2829088,+,456,0,0
gene2826,CU928145.2,2829085,2830071,+,987,1,1
gene2827,CU928145.2,2830083,2830733,+,651,0,4
gene2828,CU928145.2,2830738,2832318,+,1581,2,7
gene2829,CU928145.2,2832356,2834023,+,1668,3,14
gene2830,CU928145.2,2834033,2834572,+,540,0,2
gene2831,CU928145.2,2834569,2835327,+,759,4,3
gene2832,CU928145.2,2835320,2835733,+,414,0,2
gene2833,CU928145.2,2835763,2837775,+,2013,5,11
gene2834,CU928145.2,2837797,2838528,+,732,3,11
gene2835,CU928145.2,2838682,2839743,-,1062,15,33
gene2836,CU928145.2,2839956,2841419,+,1464,56,74
gene2837,CU928145.2,2841440,2841799,+,360,15,48
gene2838,CU928145.2,2841937,2842683,-,747,52,268
gene2839,CU928145.2,2842733,2844022,-,1290,2,34
gene2840,CU928145.2,2844108,2844734,-,627,1,89
gene2841,CU928145.2,2845059,2846096,+,1038,1,9
gene2842,CU928145.2,2846096,2846734,+,639,11,35
gene2843,CU928145.2,2846905,2848971,+,2067,150,350
gene2844,CU928145.2,2848976,2850517,+,1542,35,144
gene2845,CU928145.2,2850556,2852799,-,2244,9,75
gene2846,CU928145.2,2853016,2853306,-,291,177,570
gene2847,CU928145.2,2853653,2854171,+,519,0,14
gene2848,CU928145.2,2854187,2854726,+,540,26,29
gene2849,CU928145.2,2854819,2856396,-,1578,66,148
gene2850,CU928145.2,2856465,2857931,-,1467,58,109
gene2851,CU928145.2,2858093,2859463,+,1371,55,137
gene2852,CU928145.2,2859460,2859675,-,216,12,72
gene2853,CU928145.2,2859744,2861216,-,1473,117,136
gene2854,CU928145.2,2861334,2862512,-,1179,810,528
gene2855,CU928145.2,2862523,2863143,-,621,42,128
gene2856,CU928145.2,2863161,2864435,-,1275,166,421
gene2857,CU928145.2,2864455,2864545,-,91,1,0
gene2858,CU928145.2,2864546,2865664,-,1119,215,218
gene2859,CU928145.2,2865691,2866704,-,1014,411,469
gene2860,CU928145.2,2866989,2868143,-,1155,107,116
gene2861,CU928145.2,2868293,2868724,-,432,23,103
gene2862,CU928145.2,2868873,2871185,-,2313,29,26
gene2863,CU928145.2,2871186,2876147,-,4962,166,227
gene2864,CU928145.2,2876354,2877199,+,846,248,78
gene2865,CU928145.2,2877313,2877394,-,82,1,0
gene2866,CU928145.2,2877389,2877693,+,305,55,2774
gene2867,CU928145.2,2877692,2878468,-,777,25,95
gene2868,CU928145.2,2878610,2879893,-,1284,10,38
gene2869,CU928145.2,2880071,2880271,-,201,10,28
gene2870,CU928145.2,2880283,2880618,-,336,9,23
gene2871,CU928145.2,2880620,2882470,-,1851,44,88
gene2872,CU928145.2,2882487,2883002,-,516,10,26
gene2873,CU928145.2,2883098,2883421,-,324,111,86
gene2874,CU928145.2,2883438,2883824,-,387,110,80
gene2875,CU928145.2,2883852,2885066,-,1215,180,124
gene2876,CU928145.2,2885178,2885666,-,489,137,36
gene2877,CU928145.2,2885936,2886676,-,741,80,183
gene2878,CU928145.2,2886795,2887598,+,804,3,223
gene2879,CU928145.2,2887716,2888597,+,882,9,13
gene2880,CU928145.2,2888788,2890068,+,1281,680,22
gene2881,CU928145.2,2890060,2891199,-,1140,29,35
gene2882,CU928145.2,2891359,2892249,-,891,31,22
gene2883,CU928145.2,2892385,2893746,+,1362,1,1
gene2884,CU928145.2,2893743,2894261,+,519,1,1
gene2885,CU928145.2,2894261,2894581,+,321,1,3
gene2886,CU928145.2,2894578,2895390,+,813,0,1
gene2887,CU928145.2,2895400,2896602,+,1203,12,9
gene2888,CU928145.2,2896699,2897121,+,423,196,13
gene2889,CU928145.2,2897169,2898041,-,873,6,4
gene2890,CU928145.2,2898053,2899114,-,1062,9,4
gene2891,CU928145.2,2899180,2900178,-,999,0,0
gene2892,CU928145.2,2900203,2901714,-,1512,3,4
gene2893,CU928145.2,2901737,2902720,-,984,1,1
gene2894,CU928145.2,2902817,2906098,-,3282,5,9
gene2895,CU928145.2,2906216,2907409,+,1194,16,41
gene2896,CU928145.2,2907473,2908726,-,1254,58,436
gene2897,CU928145.2,2909054,2910244,+,1191,22,31
gene2898,CU928145.2,2910289,2910627,-,339,56,438
gene2899,CU928145.2,2910688,2912022,-,1335,6,43
gene2900,CU928145.2,2912012,2912725,-,714,7,24
gene2901,CU928145.2,2912890,2914317,-,1428,52,42
gene2902,CU928145.2,2914411,2914559,-,149,17842,2132
gene2903,CU928145.2,2914893,2918780,-,3888,9,32
gene2904,CU928145.2,2919176,2920594,+,1419,7,67
gene2905,CU928145.2,2920591,2921127,-,537,13,66
gene2906,CU928145.2,2921152,2921787,-,636,69,26
gene2907,CU928145.2,2921996,2922844,+,849,1,19
gene2908,CU928145.2,2922900,2923160,+,261,6,86
gene2909,CU928145.2,2923296,2923614,-,319,15,193
gene2910,CU928145.2,2923431,2923595,-,165,0,0
gene2911,CU928145.2,2923757,2923833,+,77,6,1
gene2912,CU928145.2,2923854,2924234,-,381,4,36
gene2913,CU928145.2,2924234,2924965,-,732,12,80
gene2914,CU928145.2,2924977,2925705,-,729,4,37
gene2915,CU928145.2,2925717,2926622,-,906,38,99
gene2916,CU928145.2,2926619,2927299,-,681,88,216
gene2917,CU928145.2,2927572,2928546,-,975,103,197
gene2918,CU928145.2,2928562,2930361,-,1800,125,290
gene2919,CU928145.2,2930559,2931038,-,480,19,34
gene2920,CU928145.2,2931035,2931991,-,957,112,246
gene2921,CU928145.2,2931991,2932641,-,651,565,554
gene2922,CU928145.2,2932674,2933249,-,576,764,1260
gene2923,CU928145.2,2933657,2935279,+,1623,9,22
gene2924,CU928145.2,2935264,2936001,-,738,2,8
gene2925,CU928145.2,2936133,2937467,+,1335,7,85
gene2926,CU928145.2,2937676,2938557,-,882,14,32
gene2927,CU928145.2,2938660,2939247,+,588,24,25
gene2928,CU928145.2,2939302,2939685,-,384,21,20090
gene2929,CU928145.2,2939990,2940679,+,690,17,67
gene2930,CU928145.2,2940727,2941764,-,1038,13,82
gene2931,CU928145.2,2941754,2941957,-,204,1,6
gene2932,CU928145.2,2941971,2942390,+,420,86,81
gene2933,CU928145.2,2942459,2943157,+,699,3,30
gene2934,CU928145.2,2943189,2945849,+,2661,310,101
gene2935,CU928145.2,2945963,2947318,+,1356,164,472
gene2936,CU928145.2,2947415,2947687,+,273,12,101
gene2937,CU928145.2,2947684,2948982,-,1299,119,112
gene2938,CU928145.2,2949306,2949425,-,120,52,18
gene2939,CU928145.2,2949519,2952422,-,2904,356,198
gene2940,CU928145.2,2952616,2952691,-,76,89,9102
gene2941,CU928145.2,2952863,2954404,-,1542,291,114
gene2942,CU928145.2,2954848,2957421,-,2574,378,969
gene2943,CU928145.2,2957399,2957543,-,145,229,185
gene2944,CU928145.2,2957551,2958282,-,732,12,29
gene2945,CU928145.2,2958279,2959259,-,981,98,102
gene2946,CU928145.2,2959394,2960131,+,738,278,1029
gene2947,CU928145.2,2960402,2960743,+,342,10545,48691
gene2948,CU928145.2,2960847,2960894,+,48,11,55
gene2949,CU928145.2,2960993,2962153,+,1161,25,205
gene2950,CU928145.2,2962196,2963317,-,1122,15,53
gene2951,CU928145.2,2963328,2964398,-,1071,15,65
gene2952,CU928145.2,2964608,2964973,+,366,49,25
gene2953,CU928145.2,2965123,2965641,+,519,52,192
gene2954,CU928145.2,2965631,2966857,+,1227,8,71
gene2955,CU928145.2,2966873,2967355,+,483,1,13
gene2956,CU928145.2,2967432,2967779,-,348,77,1015
gene2957,CU928145.2,2967821,2968588,-,768,118,1434
gene2958,CU928145.2,2968619,2969167,-,549,88,1206
gene2959,CU928145.2,2969186,2969434,-,249,43,666
gene2960,CU928145.2,2969571,2970932,-,1362,119,195
gene2961,CU928145.2,2971024,2971890,+,867,13,78
gene2962,CU928145.2,2972001,2973197,+,1197,15,181
gene2963,CU928145.2,2973252,2973845,-,594,134,7373
gene2964,CU928145.2,2973968,2974846,+,879,22,67
gene2965,CU928145.2,2974932,2976593,+,1662,33,141
gene2966,CU928145.2,2976742,2977083,+,342,68,1612
gene2967,CU928145.2,2977145,2977435,-,291,11,185
gene2968,CU928145.2,2977425,2977901,-,477,21,267
gene2969,CU928145.2,2978033,2978515,+,483,28,128
gene2970,CU928145.2,2978723,2979171,+,449,181937,76182
gene2971,CU928145.2,2979298,2980539,+,1242,20,174
gene2972,CU928145.2,2980678,2984424,-,3747,57,218
gene2973,CU928145.2,2984892,2988743,+,3852,71,414
gene2974,CU928145.2,2988789,2989535,+,747,5,63
gene2975,CU928145.2,2989387,2989701,+,315,39,49
gene2976,CU928145.2,2989786,2989944,-,159,0,21
gene2977,CU928145.2,2989969,2990850,-,882,15,186
gene2978,CU928145.2,2991369,2991668,+,300,1,2
gene2979,CU928145.2,2991689,2992036,+,348,4,7
gene2980,CU928145.2,2992156,2992902,+,747,1,3
gene2981,CU928145.2,2992872,2993471,-,600,1,8
gene2982,CU928145.2,2993681,2993869,-,189,0,1
gene2983,CU928145.2,2994254,2994943,-,690,1,3
gene2984,CU928145.2,2995144,2995626,-,483,3,3
gene2985,CU928145.2,2996141,2996470,-,330,0,2
gene2986,CU928145.2,2996377,2996452,-,76,0,0
gene2987,CU928145.2,2997012,2998658,+,1647,31,49
gene2988,CU928145.2,2998732,2998854,+,123,0,1
gene2989,CU928145.2,2998993,2999265,+,273,4,1
gene2990,CU928145.2,2999601,3000578,+,978,639,1
gene2991,CU928145.2,3000598,3001866,+,1269,161,0
gene2992,CU928145.2,3001889,3003337,+,1449,67,0
gene2993,CU928145.2,3003351,3004631,+,1281,85,4
gene2994,CU928145.2,3004942,3006342,+,1401,25,7
gene2995,CU928145.2,3006363,3007025,+,663,53,15
gene2996,CU928145.2,3007026,3007475,-,450,615,98
gene2997,CU928145.2,3007559,3007717,-,159,116,18
gene2998,CU928145.2,3007900,3008199,+,300,16,17
gene2999,CU928145.2,3008209,3008733,+,525,5,39
gene3000,CU928145.2,3008780,3009184,-,405,1,252
gene3001,CU928145.2,3009852,3010301,+,450,218,137
gene3002,CU928145.2,3010338,3010682,-,345,30,25
gene3003,CU928145.2,3010822,3011163,+,342,1390,86
gene3004,CU928145.2,3011411,3011656,+,246,3,2
gene3005,CU928145.2,3011653,3012063,+,411,0,2
gene3006,CU928145.2,3012036,3014180,+,2145,4,16
gene3007,CU928145.2,3014190,3015149,+,960,3,12
gene3008,CU928145.2,3015504,3016706,+,1203,7,43
gene3009,CU928145.2,3016699,3017763,+,1065,2,6
gene3010,CU928145.2,3017820,3018812,+,993,2,23
gene3011,CU928145.2,3019004,3020188,+,1185,7,15
gene3012,CU928145.2,3020312,3021049,+,738,4,148
gene3013,CU928145.2,3021039,3021374,+,336,3,29
gene3014,CU928145.2,3021465,3021995,+,531,3,305
gene3015,CU928145.2,3022122,3023294,+,1173,13,46
gene3016,CU928145.2,3023311,3024849,+,1539,11,40
gene3017,CU928145.2,3024913,3025428,-,516,136,765
gene3018,CU928145.2,3025497,3025570,+,74,11,31
gene3019,CU928145.2,3025578,3027134,-,1557,205,362
gene3020,CU928145.2,3027207,3027635,-,429,15,68
gene3021,CU928145.2,3027632,3028198,-,567,14,89
gene3022,CU928145.2,3028479,3028555,-,77,12,853
gene3023,CU928145.2,3028754,3028830,-,77,12,1085
gene3024,CU928145.2,3029029,3029105,-,77,19,1189
gene3025,CU928145.2,3029303,3029379,-,77,12,850
gene3026,CU928145.2,3029383,3029475,-,93,30,243
gene3027,CU928145.2,3029791,3029976,-,186,9201,3326
gene3028,CU928145.2,3030211,3032841,-,2631,155,1557
gene3029,CU928145.2,3032969,3033469,-,501,6,11
gene3030,CU928145.2,3033712,3034773,-,1062,229,808
gene3031,CU928145.2,3034853,3035350,-,498,6,25
gene3032,CU928145.2,3035495,3036580,-,1086,4,34
gene3033,CU928145.2,3036836,3037399,+,564,1,28
gene3034,CU928145.2,3037396,3038355,+,960,1,10
gene3035,CU928145.2,3038366,3038737,+,372,1,0
gene3036,CU928145.2,3038741,3039520,+,780,1,21
gene3037,CU928145.2,3039625,3039984,+,360,2,8
gene3038,CU928145.2,3040051,3040824,+,774,6,105
gene3039,CU928145.2,3040817,3041782,+,966,5,28
gene3040,CU928145.2,3041779,3043293,-,1515,9,18
gene3041,CU928145.2,3043480,3044919,+,1440,2,2
gene3042,CU928145.2,3044916,3046049,+,1134,0,2
gene3043,CU928145.2,3046157,3046268,+,112,0,3
gene3044,CU928145.2,3046275,3048527,-,2253,17,32
gene3045,CU928145.2,3048680,3049207,-,528,8,2
gene3046,CU928145.2,3049356,3050369,-,1014,40,29
gene3047,CU928145.2,3050626,3052083,+,1458,4,5
gene3048,CU928145.2,3052092,3053516,+,1425,41,28
gene3049,CU928145.2,3053684,3054664,-,981,182,547
gene3050,CU928145.2,3054909,3055394,-,486,3,55
gene3051,CU928145.2,3055399,3056172,-,774,6,10
gene3052,CU928145.2,3056197,3056667,-,471,16,11
gene3053,CU928145.2,3056660,3057070,-,411,4,4
gene3054,CU928145.2,3057067,3057834,-,768,0,0
gene3055,CU928145.2,3057834,3058376,-,543,1,0
gene3056,CU928145.2,3058386,3060095,-,1710,10,7
gene3057,CU928145.2,3060113,3061036,-,924,1,1
gene3058,CU928145.2,3061039,3062865,-,1827,4,4
gene3059,CU928145.2,3062862,3063473,-,612,0,1
